airbnb_neighbourhood,covid_neighborhood,zip code
Bayview,Bayview Hunters Point,92124
Bernal Heights,Bernal Heights,94110
Castro/Upper Market,Castro/Upper Market,94114
Chinatown,Chinatown,94108
Crocker Amazon,Excelsior,94112
Diamond Heights,Glen Park,94131
Downtown/Civic Center,Tenderloin,94102
Excelsior,Excelsior,94112
Financial District,Financial District/South Beach,94111
Glen Park,Glen Park,94131
Golden Gate Park,Golden Gate Park,94121
Haight Ashbury,Haight Ashbury,94117
Inner Richmond,Inner Richmond,94118
Inner Sunset,Inner Sunset,94122
Lakeshore,Lakeshore,94132
Marina,Marina,94123
Mission,Mission Bay,94107
Nob Hill,Nob Hill,94109
Noe Valley,Noe Valley,94114
North Beach,North Beach,94111
Ocean View,Oceanview/merced/Ingleside,94132
Outer Mission,Outer Mission,94112
Outer Richmond,Outer Richmond,94121
Outer Sunset,Sunset/Parkside,94122
Pacific Heights,Pacific Heights,94123
Parkside,Sunset/Parkside,94116
Potrero Hill,Potrero Hill,94107
Presidio,Presidio,94124
Presidio Heights,Presidio Heights,94129
Russian Hill,Russian Hill,94133
Seacliff,Seacliff,94121
South of Market,South of Market,94103
Treasure Island/YBI,Treasure Island,94130
Twin Peaks,Twin Peaks,94131
Visitacion Valley,Vistacion Valley,94134
Western Addition,Western Addition,94115
West of Twin Peaks,West of Twin Peaks,94116
